Book_page,Year,Site,Nest_ID,Species,Observer,Date_found,how_found,Clutch_max,floatAge,ageMethod
,2014,coat,14coatgpsf01,amgp,sflemming,2014-06-16,searcher,4,9.4,float
,2014,coat,14coatgpss01,amgp,sshulte,2014-06-15,searcher,4,3.6,float
,2014,coat,14coatrpsf02,reph,sflemming,2014-06-27,searcher,4,6.5,float
,2014,coat,14coatrpsn01,reph,sneima,2014-06-19,searcher,4,6.5,float
,2014,coat,14coatrtbw01,rutu,bwinn,2014-06-24,searcher,4,,float
,2014,coat,14coatrtsn01,rutu,sneima,2014-06-27,searcher,4,,float
,2014,coat,14coatspss01,sepl,sshulte,2014-06-27,searcher,4,,float
,2014,coat,14coatssbw06,sesa,bwinn,2014-06-27,searcher,4,5.8,float
,2014,coat,14coatsskr05,sesa,kreischke,2014-07-02,searcher,4,13.1,float
,2014,coat,14coatsskr06,sesa,kreischke,2014-07-06,searcher,4,22,float
,2014,coat,14coatsssf04,sesa,sflemming,2014-07-10,searcher,,,
,2014,coat,14coatsssf06,sesa,sflemming,2014-07-02,searcher,4,14.6,float
,2014,coat,14coatssss05,sesa,sshulte,2014-06-25,searcher,4,10.5,float
,2014,coat,14coatwrkr01,wrsa,kreischke,2014-06-27,searcher,4,17.3,float
,2014,coat,14coatwrsn01,wrsa,sneima,2014-06-15,searcher,4,8.1,float
1.34,2011,colv,11colvamgp801,amgp,epalm,2011-06-16,searcher,3,13,float
2.03,2011,colv,11colvbarg826,btgo,epalm,2011-06-19,searcher,4,9,float
1.08,2011,colv,11colvbbpl104,bbpl,bwilkinson,2011-06-08,searcher,2,,
2.1,2011,colv,11colvbbpl829,bbpl,epalm,2011-06-20,searcher,4,0,float
2.12,2011,colv,11colvdunl073,dunl,dpavlik,2011-06-21,searcher,4,2,float
2.15,2011,colv,11colvdunl076,dunl,dpavlik,2011-06-21,searcher,4,2,float
2.07,2011,colv,11colvdunl173,dunl,bwilkinson,2011-06-19,searcher,4,0,float
1.4,2011,colv,11colvdunl804,dunl,epalm,2011-06-17,searcher,4,0,float
1.31,2011,colv,11colvdunl814,dunl,epalm,2011-06-18,searcher,4,0,float
1.32,2011,colv,11colvdunl815,dunl,epalm,2011-06-18,searcher,4,0,float
1.37,2011,colv,11colvdunl818,dunl,epalm,2011-06-19,searcher,4,0,float
1.38,2011,colv,11colvdunl819,dunl,epalm,2011-06-19,searcher,4,8,float
1.39,2011,colv,11colvdunl820,dunl,epalm,2011-06-19,searcher,4,8,float
1.27,2011,colv,11colvlbdo053,lbdo,dpavlik,2011-06-15,bander,4,8,float
2.12,2011,colv,11colvpesa069,pesa,dpavlik,2011-06-20,bander,4,3,float
1.35,2011,colv,11colvreph067,reph,dpavlik,2011-06-19,bander,4,2,float
2.32,2011,colv,11colvreph089,reph,dpavlik,2011-07-05,searcher,4,,hatch
2.25,2011,colv,11colvreph188,reph,bwilkinson,2011-06-24,searcher,4,5,float
2.27,2011,colv,11colvreph192,reph,bwilkinson,2011-06-26,searcher,3,2,float
2.16,2011,colv,11colvreph846,reph,epalm,2011-06-22,searcher,4,2,float
2.31,2011,colv,11colvreph903,reph,bwilkinson,2011-07-04,searcher,4,12,float
2.13,2011,colv,11colvrnph070,rnph,dpavlik,2011-06-20,bander,4,0,float
2.14,2011,colv,11colvrnph075,rnph,dpavlik,2011-06-21,searcher,4,0,float
2.15,2011,colv,11colvrnph078,rnph,dpavlik,2011-06-22,bander,3,0,float
