Year,Site,Date,Jdate,Start_time,End_time,Hours,Count_type,Species,Count,Num_observers,Nests_or_dens,Team_count,Observer
2012,chur,2021-07-12,203,09:45:00,15:00:00,5.25,exact,herg,8,1,0,n,jperz
2012,chur,2021-07-12,203,09:45:00,15:00:00,5.25,exact,paja,5,1,0,n,jperz
2012,chur,2021-07-12,203,09:45:00,15:00:00,5.25,est,sacr,3,1,0,n,jperz
2014,barr,2022-07-14,203,NA,NA,6,exact,glgu,3,1,0,n,asterling
2014,barr,2022-07-14,203,NA,NA,6,exact,poja,8,1,0,n,asterling
2014,barr,2022-07-14,203,NA,NA,6,exact,paja,2,1,0,n,asterling
2014,barr,2022-07-14,203,NA,NA,6,exact,cora,2,1,0,n,asterling
2014,barr,2022-07-14,203,NA,NA,6,exact,snow,2,1,0,n,asterling
2014,barr,2022-07-14,203,09:30:00,13:20:00,3.83,exact,glgu,7,2,0,y,ssheedy
2014,barr,2022-07-14,203,09:30:00,13:20:00,3.83,exact,poja,17,2,0,y,ssheedy
2014,barr,2022-07-14,203,09:30:00,13:20:00,3.83,exact,paja,4,2,0,y,ssheedy
2014,barr,2022-07-14,203,09:30:00,13:20:00,3.83,exact,ltja,1,2,0,y,ssheedy
2014,barr,2022-07-14,203,09:30:00,13:20:00,3.83,exact,snow,1,2,0,y,ssheedy
2014,chur,2022-07-14,203,09:00:00,15:00:00,6,exact,herg,1,2,0,y,lkoloski
2014,chur,2022-07-14,203,09:00:00,15:00:00,6,exact,paja,2,2,0,y,lkoloski
2013,bylo,2022-07-13,203,10:30:00,19:00:00,8.5,exact,arfo,1,2,0,y,fsenezgagnon
2013,bylo,2022-07-13,203,10:30:00,19:00:00,8.5,exact,cora,2,2,0,y,fsenezgagnon
2013,bylo,2022-07-13,203,10:30:00,19:00:00,8.5,exact,glgu,5,2,0,y,fsenezgagnon
2013,bylo,2022-07-13,203,10:30:00,19:00:00,8.5,exact,sacr,4,2,0,y,fsenezgagnon
2014,colv,2021-07-14,202,13:30:00,14:30:00,1,exact,glgu,3,1,0,n,agottesman
2014,colv,2021-07-14,202,13:30:00,14:30:00,1,exact,ltja,1,1,0,n,agottesman
2014,colv,2021-07-14,202,13:30:00,14:30:00,1,exact,agsq,2,1,0,n,agottesman
2014,colv,2021-07-14,202,13:30:00,14:30:00,1,exact,snow,1,1,0,n,agottesman
2014,colv,2021-07-14,202,14:35:00,15:35:00,1,exact,glgu,1,1,0,n,agottesman
2014,colv,2021-07-14,202,14:35:00,15:35:00,1,exact,paja,1,1,0,n,agottesman
2014,colv,2021-07-14,202,14:35:00,15:35:00,1,exact,ltja,1,1,0,n,agottesman
2014,colv,2021-07-14,202,14:35:00,15:35:00,1,exact,rutu,1,1,0,n,agottesman
2014,colv,2021-07-14,202,14:35:00,15:35:00,1,exact,agsq,6,1,0,n,agottesman
2013,iglo,2021-07-13,202,21:00:00,22:50:00,1.83,exact,cora,1,1,0,n,magiroux
2013,iglo,2021-07-13,202,21:00:00,22:50:00,1.83,est,ungu,1,1,0,n,magiroux
2012,chur,2020-07-12,202,08:30:00,16:00:00,7.5,exact,cora,2,1,0,n,jperz
2012,chur,2020-07-12,202,08:30:00,16:00:00,7.5,exact,herg,4,1,0,n,jperz
2012,chur,2020-07-12,202,08:30:00,16:00:00,7.5,exact,paja,2,1,0,n,jperz
2014,chur,2021-07-14,202,13:00:00,17:15:00,4.25,exact,cora,1,2,0,y,lkoloski
2014,chur,2021-07-14,202,13:00:00,17:15:00,4.25,exact,herg,1,2,0,y,lkoloski
2014,chur,2021-07-14,202,13:00:00,17:15:00,4.25,exact,paja,2,2,0,y,lkoloski
2013,bylo,2021-07-13,202,12:00:00,19:00:00,7,exact,cora,1,2,0,y,fsenezgagnon
2013,bylo,2021-07-13,202,12:00:00,19:00:00,7,exact,glgu,20,2,0,y,fsenezgagnon
2013,bylo,2021-07-13,202,12:00:00,19:00:00,7,exact,ltja,4,2,0,y,fsenezgagnon
2013,bylo,2021-07-13,202,12:00:00,19:00:00,7,exact,sacr,8,2,0,y,fsenezgagnon
2014,colv,2020-07-14,201,14:30:00,15:30:00,1,exact,paja,2,1,0,n,agottesman
2014,colv,2020-07-14,201,14:30:00,15:30:00,1,exact,agsq,9,1,0,n,agottesman
2012,prba,2019-07-12,201,08:15:00,09:30:00,1.25,exact,snow,2,1,0,n,jlautenbach
2014,colv,2020-07-14,201,14:00:00,16:30:00,2.5,exact,glgu,4,1,0,n,lburlingame
2014,colv,2020-07-14,201,14:00:00,16:30:00,2.5,exact,paja,2,1,0,n,lburlingame
2014,colv,2020-07-14,201,14:00:00,16:30:00,2.5,exact,agsq,2,1,0,n,lburlingame
2012,chur,2019-07-12,201,08:45:00,15:00:00,6.25,exact,cora,2,1,0,n,jperz
2012,chur,2019-07-12,201,08:45:00,15:00:00,6.25,est,herg,10,1,0,n,jperz
2012,chur,2019-07-12,201,08:45:00,15:00:00,6.25,exact,paja,2,1,0,n,jperz
